"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2018","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","19","79.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/02/2018","AQS","530330030","1","0.7","ppm","8","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/03/2018","AQS","530330030","1","0.7","ppm","8","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/04/2018","AQS","530330030","1","1.3","ppm","15","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/05/2018","AQS","530330030","1","1.1","ppm","13","Seattle-10th & Weller","18","75.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/06/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/07/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/08/2018","AQS","530330030","1","1","ppm","11","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/09/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/10/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","18","75.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/11/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/12/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/13/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/14/2018","AQS","530330030","1","0.9","ppm","10","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/15/2018","AQS","530330030","1","1.1","ppm","13","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/16/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/17/2018","AQS","530330030","1","0.8","ppm","9","Seattle-10th & Weller","18","75.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/18/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/19/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/20/2018","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/21/2018","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/22/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/23/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/24/2018","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","18","75.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/25/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/26/2018","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/27/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/28/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/29/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/30/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/31/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","18","75.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/01/2018","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/02/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/03/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/04/2018","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/05/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/06/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/07/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","18","75.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/08/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/09/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/10/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/11/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/12/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/13/2018","AQS","530330030","1","0.7","ppm","8","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/14/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","18","75.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/15/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/16/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/17/2018","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/18/2018","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/19/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/20/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/21/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","18","75.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/22/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/23/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/24/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/25/2018","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/26/2018","AQS","530330030","1","0.7","ppm","8","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/27/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/28/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","18","75.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/01/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/02/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/03/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/04/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/05/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/06/2018","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/07/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","18","75.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/08/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/09/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","19","79.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/10/2018","AQS","530330030","1","0.8","ppm","9","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/11/2018","AQS","530330030","1","0.9","ppm","10","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/12/2018","AQS","530330030","1","1","ppm","11","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/13/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/14/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","18","75.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/15/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/16/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/17/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/18/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/19/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/20/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/21/2018","AQS","530330030","1","0.8","ppm","9","Seattle-10th & Weller","18","75.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/22/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/23/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/24/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/25/2018","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/26/2018","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/27/2018","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
